store_id,store_name,country,total_sales,total_quantity,total_profit,transaction_count
S0067,Apollo Shop #67,JP,1084.01,246,17.657799999999998,52
S0068,Apollo Shop #68,JP,1036.31,238,17.9367,53
S0069,Sweet Spot #69,IN,913.83,219,17.4145,52
S0070,Venus Boutique #70,AU,1056.12,244,20.8163,62
S0071,Venus Boutique #71,CA,855.5,209,14.0491,42
S0072,ChocoHub #72,BR,1037.26,247,17.3244,50
S0073,Apollo Shop #73,GB,1175.14,265,19.9394,60
S0074,Eros Corner #74,CN,756.1,189,14.959,44
S0075,Eros Corner #75,SE,699.69,155,13.6118,39
S0076,Apollo Shop #76,SG,1315.31,345,21.0919,65
S0077,ChocoHub #77,FR,954.09,226,17.3424,50
S0078,Cupid Outlet #78,GB,868.01,194,14.8961,42
S0079,Venus Boutique #79,US,762.65,197,16.4133,49
S0080,Apollo Shop #80,PL,727.8,179,17.1806,51
S0081,Venus Boutique #81,JP,955.91,206,17.3467,51
S0082,Cupid Outlet #82,US,952.57,229,18.6986,55
S0083,ChocoHub #83,AU,1121.32,262,17.4083,53
S0084,Cupid Outlet #84,MX,504.59,111,9.1756,29
S0085,Apollo Shop #85,AU,729.05,179,12.1034,35
S0086,Eros Corner #86,SG,1086.45,248,19.803,57
S0087,Apollo Shop #87,US,1011.8,228,17.3639,51
S0088,Eros Corner #88,MX,1014.59,228,17.508,51
S0089,Venus Boutique #89,IT,643.72,165,12.1131,36
S0090,Eros Corner #90,IT,774.76,181,14.3772,41
S0091,ChocoHub #91,SG,1003.62,243,18.5583,54
S0092,Sweet Spot #92,CN,1033.97,255,17.8835,53
S0093,Sweet Spot #93,DE,1029.58,215,17.2764,51
S0094,Cupid Outlet #94,US,886.18,217,16.052699999999998,49
S0095,Sweet Spot #95,NL,1115.68,254,18.348399999999998,54
S0096,Cupid Outlet #96,BR,1076.66,228,17.273699999999998,50
S0097,Venus Boutique #97,ES,921.9300000000001,198,15.9544,45
S0098,Apollo Shop #98,PL,915.58,233,15.5763,48
S0099,Eros Corner #99,NL,889.43,223,14.371599999999999,44
S0100,Eros Corner #100,PL,812.25,203,14.7088,44
S0101,Sweet Spot #101,NO,933.91,235,16.9638,51
S0102,Eros Corner #102,ES,1110.72,281,19.334,58
S0103,Apollo Shop #103,IT,998.26,225,17.8299,52
S0104,Cupid Outlet #104,BR,842.99,206,17.181,49
S0105,Venus Boutique #105,NO,1060.94,257,19.4845,57
S0106,ChocoHub #106,CN,1077.01,261,18.1221,53
S0107,Cupid Outlet #107,ES,1232.6599999999999,285,22.6978,69
S0108,Sweet Spot #108,CN,788.53,190,13.7987,40
S0109,Venus Boutique #109,SE,824.13,207,14.712,44
S0110,Eros Corner #110,CA,918.86,191,15.4701,46
S0111,ChocoHub #111,GB,975.21,224,16.437,48
S0112,Eros Corner #112,SE,925.9,203,15.9881,46
S0113,ChocoHub #113,CA,1081.41,257,17.6919,53
S0114,Apollo Shop #114,SE,748.62,178,14.9473,44
S0115,Apollo Shop #115,IN,1120.01,262,18.9269,54
S0116,ChocoHub #116,AU,724.36,180,14.0705,43
S0117,Venus Boutique #117,NO,1122.27,246,18.0162,52
S0118,Eros Corner #118,NO,1092.75,254,17.5802,51
S0119,ChocoHub #119,IT,1221.22,280,21.6907,63
S0120,Apollo Shop #120,SG,975.01,217,18.2377,53
S0121,Apollo Shop #121,FR,1309.07,302,23.3072,68
S0122,Sweet Spot #122,CA,895.73,193,14.6089,44
S0123,Sweet Spot #123,ZA,781.0,177,13.5038,40
S0124,Cupid Outlet #124,PL,1099.38,252,18.8505,55
S0125,Apollo Shop #125,CN,945.57,223,17.064799999999998,51
S0126,Sweet Spot #126,BR,900.1899999999999,239,17.2452,50
S0127,Apollo Shop #127,GB,1273.27,309,20.1445,61
S0128,Apollo Shop #128,CN,645.95,161,13.749,42
S0129,Eros Corner #129,FR,921.09,210,16.4885,47
S0130,ChocoHub #130,NL,998.88,264,21.0099,62
S0131,Eros Corner #131,NL,996.0,232,17.5513,52
S0132,Venus Boutique #132,NL,776.1,181,13.948,43
S0133,Sweet Spot #133,FR,816.48,188,13.2528,39
S0134,Venus Boutique #134,AU,1028.21,250,18.9951,55
S0135,Sweet Spot #135,CN,1042.61,246,18.8858,55
S0136,Sweet Spot #136,MX,968.39,216,18.1411,53
S0137,Sweet Spot #137,CA,949.18,211,15.5252,45
S0138,Sweet Spot #138,IT,1213.19,285,19.568,58
S0139,ChocoHub #139,US,1260.92,294,21.2541,64
S0140,Cupid Outlet #140,ES,687.54,163,14.0182,40
S0141,Venus Boutique #141,DK,1146.83,284,20.3507,60
S0142,Apollo Shop #142,FR,1139.49,265,19.3091,55
S0143,Eros Corner #143,SE,819.95,183,14.8947,43
S0144,Cupid Outlet #144,NO,1198.92,267,18.6097,57
S0145,Apollo Shop #145,MX,958.04,207,15.2113,45
S0146,Sweet Spot #146,SG,957.38,221,16.5331,47
S0147,Venus Boutique #147,NL,1144.22,257,18.289,55
S0148,Venus Boutique #148,ES,847.11,215,15.3475,46
S0149,Venus Boutique #149,IT,1068.37,256,17.585,52
S0150,Sweet Spot #150,FR,1086.99,257,17.7915,53
S0151,Venus Boutique #151,AU,744.15,160,13.863999999999999,41
S0152,Sweet Spot #152,MX,870.73,197,13.6405,39
S0153,Sweet Spot #153,DE,1086.3700000000001,224,17.0727,51
S0154,ChocoHub #154,BR,1027.09,245,17.9009,55
S0155,Sweet Spot #155,ZA,1324.65,291,20.2379,60
S0156,Venus Boutique #156,IT,998.03,223,16.4929,48
S0157,Eros Corner #157,ES,1091.17,237,17.3407,53
S0158,Sweet Spot #158,NO,1047.71,241,16.6816,50
S0159,Cupid Outlet #159,PL,915.6,205,16.6255,49
S0160,Apollo Shop #160,FR,1183.31,281,20.0732,59
S0161,ChocoHub #161,CN,812.66,180,12.8719,40
S0162,Cupid Outlet #162,BR,865.93,204,16.7949,50
S0163,Venus Boutique #163,PL,926.02,202,16.2262,48
S0164,Cupid Outlet #164,CN,1171.09,250,20.6274,60
S0165,Venus Boutique #165,MX,620.64,150,12.1721,37
S0166,Sweet Spot #166,IT,1000.8,213,19.1096,55
S0167,ChocoHub #167,BR,1109.17,228,16.8896,48
S0168,Sweet Spot #168,SE,721.4399999999999,163,13.6893,40
S0169,Sweet Spot #169,ES,1023.35,224,17.956599999999998,52
S0170,Cupid Outlet #170,NL,809.52,187,13.910499999999999,40
S0171,Apollo Shop #171,ZA,893.92,241,17.3629,50
S0172,Apollo Shop #172,GB,1110.75,273,17.9461,56
S0173,Eros Corner #173,MX,874.54,207,14.6113,43
S0174,Cupid Outlet #174,SE,1048.6299999999999,243,17.6107,52
S0175,ChocoHub #175,DK,1235.14,263,20.303,58
S0176,ChocoHub #176,FR,793.15,198,16.7659,49
S0177,Venus Boutique #177,BR,1030.68,219,17.199,50
S0178,ChocoHub #178,IT,586.98,160,13.3258,38
S0179,Cupid Outlet #179,SE,942.84,215,17.8267,50
S0180,ChocoHub #180,SG,762.14,171,13.666,39
S0181,Venus Boutique #181,FR,875.0699999999999,208,17.979,53
S0182,Eros Corner #182,ZA,1096.34,250,18.0573,55
S0183,ChocoHub #183,AU,1073.28,260,20.6605,58
S0184,Eros Corner #184,DK,906.59,237,18.0417,54
S0185,Sweet Spot #185,IN,1226.71,292,19.0901,54
S0186,Apollo Shop #186,SE,1505.06,337,26.5781,76
S0187,ChocoHub #187,BR,799.52,185,13.6745,41
S0188,Sweet Spot #188,US,1001.57,231,18.2415,54
S0189,Cupid Outlet #189,GB,744.12,179,17.2091,48
S0190,Apollo Shop #190,MX,775.17,188,16.0805,47
S0191,Sweet Spot #191,DE,1001.23,248,18.194,55
S0192,Cupid Outlet #192,ES,1254.71,257,18.7476,52
S0193,ChocoHub #193,IN,1044.96,235,15.4297,47
S0194,Eros Corner #194,DE,1042.84,226,17.4263,51
S0195,ChocoHub #195,SE,1131.21,252,15.726799999999999,50
S0196,Apollo Shop #196,AU,1329.02,317,19.3963,59
S0197,Eros Corner #197,NL,813.61,193,14.9355,42
S0198,Eros Corner #198,AU,978.3199999999999,236,16.1513,46
S0199,Apollo Shop #199,MX,1155.55,272,20.154799999999998,61
S0200,Cupid Outlet #200,PL,815.56,165,15.6651,43
